Name,Definition,Value
"Point A",,"A = (0, 0)"
"Point B",,"B = (65, 0)"
"Image TenAnh1",,TenAnh1
"Point D",,"D = (8.8472659256131, -0.5161850716126)"
"Point E",,"E = (9.5332476517516, 3.4768299850467)"
"Point F",,"F = (9.9184762399777, 1.1920259445331)"
"Point G",,"G = (2.3068906864064, 1.3381471331706)"
"Point H",,"H = (1, 5)"
"Line f","PerpendicularLine(G, yAxis)","f: y = 1.3381471331706"
"Line g","PerpendicularLine(D, yAxis)","g: y = -0.5161850716126"
"Line h","PerpendicularLine(D, g)","h: x = 8.8472659256131"
"Line i","PerpendicularLine(F, f)","i: x = 9.9184762399777"
"Line j","PerpendicularLine(E, yAxis)","j: y = 3.4768299850467"
"Point C",,"C = (7.3293049843316, -2.8392698215157)"
"Line k","Line(C, g)","k: y = -2.8392698215157"
"Line l","Line(G, yAxis)","l: x = 2.3068906864064"
"Line m","Line(H, l)","m: x = 1"
"Point I",,"I = (-5.4441820289982, 5.078062365648)"
"Point J",,"J = (-2.4801093695853, 9.2345780489627)"
"Line n","PerpendicularLine(J, m)","n: y = 9.2345780489627"
"Line p","PerpendicularLine(I, j)","p: x = -5.4441820289982"
"Point K",,"K = (-1.6624341531955, 2.4546877130641)"
"Line q","Line(K, m)","q: x = -1.6624341531955"
"Number khoangcachDf","Distance(D, f)","khoangcachDf = 1.8543322047832"
"Number khoangcachDk","Distance(D, k)","khoangcachDk = 2.3230847499031"
"Point L",Point(f),"L = (15.3254981001543, 1.3381471331706)"
"Line r","PerpendicularLine(L, f)","r: x = 15.3254981001543"
"Number khoangcachFr","Distance(F, r)","khoangcachFr = 5.4070218601766"
"Number khoangcachLj","Distance(L, j)","khoangcachLj = 2.1386828518761"
"Number khoangcachGh","Distance(G, h)","khoangcachGh = 6.5403752392068"
"Number khoangcachHq","Distance(H, q)","khoangcachHq = 2.6624341531955"
"Number khoangcachKm","Distance(K, m)","khoangcachKm = 2.6624341531955"
