Name,Definition,Value
Point A,,"A = (-6.28, 7.22)"
Point B,,"B = (2, 7.18)"
Segment f,"Segment(A, B)",f = 8.2800966177938
Line g,"PerpendicularLine(B, f)",g: y = 206.9999999999999x - 406.8199999999997
Point C,Point(g),"C = (1.9881162193699, 4.7200574095683)"
Point D,Point(f),"D = (-0.4798455075846, 7.1919799299883)"
Arc c,"CircularArc(B, C, D)",c = 11.5923416228487
Arc d,"CircularArc(B, D, C)",d = 3.8953776682463
Number distanceAD,"Distance(A, D)",distanceAD = 5.8002221733491
Segment h,"Segment(B, C)",h = 2.4599712950484
List l1,"{d, f, h, C}","l1 = {3.8953776682463, 8.2800966177938, 2.4599712950484}"
